var2,var3,var4
0.48,0.17,NA
1.13,0.63,NA
1.13,0.63,NA
1.13,0.63,NA
1.13,0.63,NA
0.81,0.41,NA
0.81,0.41,NA
0.81,0.41,NA
0.81,0.41,NA
0.86,0.4,NA
0.86,0.4,NA
0.86,0.4,NA
0.86,0.4,NA
1.12,0.62,NA
1.12,0.62,NA
1.12,0.62,NA
1.12,0.62,NA
1.41,0.64,NA
1.41,0.64,NA
1.41,0.64,NA
1.41,0.64,NA
1,0.34,NA
1,0.34,NA
1,0.34,NA
1,0.34,NA
0.87,0.36,NA
0.87,0.36,NA
0.87,0.36,NA
0.87,0.36,NA
1.2,0.64,NA
1.2,0.64,NA
1.2,0.64,NA
1.2,0.64,NA
1.4,0.55,NA
1.4,0.55,NA
1.4,0.55,NA
1.4,0.55,NA
1.58,0.82,NA
1.58,0.82,NA
1.58,0.82,NA
1.58,0.82,NA
1.2,0.53,NA
1.2,0.53,NA
1.2,0.53,NA
1.2,0.53,NA
0.95,0.38,NA
0.95,0.38,NA
0.95,0.38,NA
0.95,0.38,NA
0.91,0.5,NA
0.91,0.5,NA
0.91,0.5,NA
0.91,0.5,NA
1.13,0.63,NA
1.13,0.63,NA
1.13,0.63,NA
1.13,0.63,NA
1.01,0.48,NA
1.01,0.48,NA
1.01,0.48,NA
1.01,0.48,NA
0.96,0.59,NA
0.96,0.59,NA
0.96,0.59,NA
0.96,0.59,NA
1.1,0.48,NA
